x,y,temperature
0.54,0.24,20.0163
0.56,0.24,20.0147
0.58,0.24,20.0127
0.6,0.24,20.0105
0.62,0.24,20.0084
0.64,0.24,20.0064
0.66,0.24,20.0047
0.68,0.24,20.0033
0.7,0.24,20.0022
0.72,0.24,20.0015
0.74,0.24,20.0009
0.76,0.24,20.0005
0.78,0.24,20.0003
0.8,0.24,20.0002
0.82,0.24,20.0001
0.84,0.24,20
0.86,0.24,20
0.88,0.24,20
0.9,0.24,20
0.92,0.24,20
0.94,0.24,20
0.96,0.24,20
0.98,0.24,20
1,0.24,20
0,0.26,20
0.02,0.26,20
0.04,0.26,20
0.06,0.26,20
0.08,0.26,20
0.1,0.26,20
0.12,0.26,20
0.14,0.26,20
0.16,0.26,20.0001
0.18,0.26,20.0002
0.2,0.26,20.0003
0.22,0.26,20.0005
0.24,0.26,20.0009
0.26,0.26,20.0015
0.28,0.26,20.0024
0.3,0.26,20.0037
0.32,0.26,20.0055
0.34,0.26,20.0078
0.36,0.26,20.0106
0.38,0.26,20.0138
0.4,0.26,20.0173
0.42,0.26,20.0209
0.44,0.26,20.0241
0.46,0.26,20.0267
0.48,0.26,20.0284
0.5,0.26,20.029
0.52,0.26,20.0284
0.54,0.26,20.0267
0.56,0.26,20.0241
0.58,0.26,20.0209
0.6,0.26,20.0173
0.62,0.26,20.0138
0.64,0.26,20.0106
0.66,0.26,20.0078
0.68,0.26,20.0055
0.7,0.26,20.0037
0.72,0.26,20.0024
0.74,0.26,20.0015
0.76,0.26,20.0009
0.78,0.26,20.0005
0.8,0.26,20.0003
0.82,0.26,20.0002
0.84,0.26,20.0001
0.86,0.26,20
0.88,0.26,20
0.9,0.26,20
0.92,0.26,20
0.94,0.26,20
0.96,0.26,20
0.98,0.26,20
1,0.26,20
0,0.28,20
0.02,0.28,20
0.04,0.28,20
0.06,0.28,20
0.08,0.28,20
0.1,0.28,20
0.12,0.28,20
0.14,0.28,20.0001
0.16,0.28,20.0001
0.18,0.28,20.0003
0.2,0.28,20.0005
0.22,0.28,20.0008
0.24,0.28,20.0015
0.26,0.28,20.0024
0.28,0.28,20.0039
0.3,0.28,20.0059
0.32,0.28,20.0087
0.34,0.28,20.0124
0.36,0.28,20.0168
0.38,0.28,20.0219
0.4,0.28,20.0274
0.42,0.28,20.033
0.44,0.28,20.038
0.46,0.28,20.0421
0.48,0.28,20.0448
0.5,0.28,20.0457
0.52,0.28,20.0448
0.54,0.28,20.0421
0.56,0.28,20.038
0.58,0.28,20.033
0.6,0.28,20.0274
0.62,0.28,20.0219
0.64,0.28,20.0168
0.66,0.28,20.0124
0.68,0.28,20.0087
0.7,0.28,20.0059
0.72,0.28,20.0039
0.74,0.28,20.0024
0.76,0.28,20.0015
0.78,0.28,20.0008
0.8,0.28,20.0005
0.82,0.28,20.0003
0.84,0.28,20.0001
0.86,0.28,20.0001
0.88,0.28,20
0.9,0.28,20
0.92,0.28,20
0.94,0.28,20
0.96,0.28,20
0.98,0.28,20
1,0.28,20
0,0.3,20
0.02,0.3,20
0.04,0.3,20
0.06,0.3,20
0.08,0.3,20
0.1,0.3,20
0.12,0.3,20
0.14,0.3,20.0001
0.16,0.3,20.0002
0.18,0.3,20.0004
0.2,0.3,20.0007
0.22,0.3,20.0013
0.24,0.3,20.0022
0.26,0.3,20.0037
0.28,0.3,20.0059
0.3,0.3,20.0091
0.32,0.3,20.0133
0.34,0.3,20.0189
0.36,0.3,20.0256
0.38,0.3,20.0333
0.4,0.3,20.0417
0.42,0.3,20.0501
0.44,0.3,20.0578
0.46,0.3,20.064
0.48,0.3,20.068
0.5,0.3,20.0694
0.52,0.3,20.068
0.54,0.3,20.064
0.56,0.3,20.0578
0.58,0.3,20.0501
0.6,0.3,20.0417
0.62,0.3,20.0333
0.64,0.3,20.0256
0.66,0.3,20.0189
0.68,0.3,20.0133
0.7,0.3,20.0091
0.72,0.3,20.0059
0.74,0.3,20.0037
0.76,0.3,20.0022
0.78,0.3,20.0013
0.8,0.3,20.0007
0.82,0.3,20.0004
0.84,0.3,20.0002
0.86,0.3,20.0001
0.88,0.3,20
0.9,0.3,20
0.92,0.3,20
0.94,0.3,20
0.96,0.3,20
0.98,0.3,20
1,0.3,20
0,0.32,20
0.02,0.32,20
0.04,0.32,20
0.06,0.32,20
0.08,0.32,20
0.1,0.32,20
0.12,0.32,20.0001
0.14,0.32,20.0001
0.16,0.32,20.0003
0.18,0.32,20.0006
0.2,0.32,20.0011
0.22,0.32,20.0019
0.24,0.32,20.0033
0.26,0.32,20.0055
0.28,0.32,20.0087
0.3,0.32,20.0133
0.32,0.32,20.0196
0.34,0.32,20.0276
0.36,0.32,20.0374
0.38,0.32,20.0487
0.4,0.32,20.0609
0.42,0.32,20.0731
0.44,0.32,20.0843
0.46,0.32,20.0933
0.48,0.32,20.0992
0.5,0.32,20.1012
0.52,0.32,20.0992
0.54,0.32,20.0933
0.56,0.32,20.0843
0.58,0.32,20.0731
0.6,0.32,20.0609
0.62,0.32,20.0487
0.64,0.32,20.0374
0.66,0.32,20.0276
